src,type,dst,side_link,direction,contact,staging,note
kidney,has_part,renal_cortex,same,,,confined|location,
kidney,has_part,renal_medulla,same,,,confined|location,
kidney,has_part,renal_pelvis,same,,,confined|location,
kidney,has_part,renal_sinus_fat,same,,,confined|location,
kidney,invested_by,perinephric_fat,same,,,beyond_capsule,RCC T3a: perinephric / sinus fat invasion
kidney,invested_by,gerota_fascia,same,,,beyond_capsule,RCC T4: beyond Gerota fascia
kidney,adjacent_to,adrenal,same,superior_medial,abuts,adjacent_invasion,T4 if contiguous adrenal invasion
kidney,adjacent_to,liver,right,superior,near,adjacent_invasion,
kidney,adjacent_to,spleen,left,superior_lateral,near,adjacent_invasion,
kidney,adjacent_to,pancreas,same,anterior,near,adjacent_invasion,"head on right, tail on left"
kidney,adjacent_to,duodenum,right,anterior_medial,abuts,adjacent_invasion,
kidney,adjacent_to,colon,same,anterior_lateral,abuts,adjacent_invasion,"ascending right, descending left"
kidney,adjacent_to,psoas,same,medial,abuts,adjacent_invasion|wall_invasion,
kidney,adjacent_to,quadratus_lumborum,same,posterior,abuts,wall_invasion,
kidney,adjacent_to,diaphragm,same,superior_posterior,near,adjacent_invasion,
kidney,supplied_by,renal_artery,same,,,vascular_invasion,
renal_artery,supplied_by,aorta,any,,,,
kidney,drained_by,renal_vein,same,,,vascular_invasion,RCC T3a: renal vein / segmental branch thrombus
renal_vein,drained_by,inferior_vena_cava,any,,,vascular_invasion,"T3b infradiaphragmatic IVC, T3c supradiaphragmatic"
kidney,drained_by,gonadal_vein,left,,,vascular_invasion,left gonadal vein drains to left renal vein
kidney,has_duct,ureter,same,,,obstruction,corridor renal pelvis → bladder trigone
kidney,drains_lymph_to,ln_renal_hilar,same,,,nodal,
kidney,drains_lymph_to,ln_paraaortic,any,,,nodal,
kidney,lies_in,retroperitoneum,any,,,,
liver,has_part,liver_segment_I,any,,,location,
liver,has_part,liver_segment_II,any,,,location,
liver,has_part,liver_segment_III,any,,,location,
liver,has_part,liver_segment_IV,any,,,location,
liver,has_part,liver_segment_V,any,,,location,
liver,has_part,liver_segment_VI,any,,,location,
liver,has_part,liver_segment_VII,any,,,location,
liver,has_part,liver_segment_VIII,any,,,location,
liver,has_part,liver_lobe,any,,,location,
liver,has_part,intrahepatic_bile_ducts,any,,,obstruction,
liver,invested_by,peritoneum,any,,,beyond_capsule,HCC T4: perforation of visceral peritoneum
liver,adjacent_to,diaphragm,any,superior,abuts,adjacent_invasion,HCC T4 direct invasion
liver,adjacent_to,gallbladder,any,inferior,abuts,adjacent_invasion|HCC T4,
liver,adjacent_to,stomach,any,left_inferior,near,adjacent_invasion,
liver,adjacent_to,duodenum,any,inferior,abuts,adjacent_invasion,
liver,adjacent_to,colon,any,inferior,near,adjacent_invasion,hepatic flexure
liver,adjacent_to,kidney,right,inferior_posterior,abuts,adjacent_invasion,
liver,adjacent_to,adrenal,right,posterior_medial,abuts,adjacent_invasion,
liver,adjacent_to,heart,any,superior,separated_by_diaphragm,,
liver,adjacent_to,chest_wall,right,lateral,separated_by_diaphragm,wall_invasion,
liver,supplied_by,hepatic_artery,any,,,vascular_invasion,
hepatic_artery,supplied_by,celiac_trunk,any,,,,
celiac_trunk,supplied_by,aorta,any,,,,
liver,supplied_by,portal_vein,any,,,vascular_invasion,HCC T4 / BCLC: portal vein tumour thrombus (main or branch)
portal_vein,drained_by,superior_mesenteric_vein,any,,,,
portal_vein,drained_by,splenic_vein,any,,,,
liver,drained_by,hepatic_veins,any,,,vascular_invasion,HCC T4: hepatic vein invasion
hepatic_veins,drained_by,inferior_vena_cava,any,,,vascular_invasion,
liver,has_duct,bile_duct,any,,,obstruction,corridor porta hepatis → duodenum
liver,drains_lymph_to,ln_hepatic_hilar,any,,,nodal,
liver,drains_lymph_to,ln_celiac,any,,,nodal,
liver,drains_lymph_to,ln_paraaortic,any,,,nodal,
liver,lies_in,peritoneal_cavity,any,,,,
liver,lies_in,upper_abdomen,any,,,,
uterus,has_part,endometrium,any,,,confined|location,
uterus,has_part,myometrium,any,,,confined|location,UCEC T1a/T1b = depth of myometrial invasion
uterus,has_part,junctional_zone,any,,,confined|location,
uterus,has_part,cervix,any,,,confined|location,
uterus,invested_by,peritoneum,any,,,beyond_capsule,uterine serosa; UCEC T3a
uterus,adjacent_to,urinary_bladder,any,anterior_inferior,abuts,adjacent_invasion,UCEC/CESC T4: bladder mucosa
uterus,adjacent_to,rectum,any,posterior,near,adjacent_invasion,T4: rectal mucosa
uterus,adjacent_to,colon_sigmoid,any,posterior_superior,near,adjacent_invasion,
uterus,adjacent_to,small_bowel,any,superior,near,adjacent_invasion,
uterus,adjacent_to,ovary,any,lateral,near,adjacent_invasion,UCEC T3a: adnexal involvement
uterus,adjacent_to,pelvic_sidewall,any,lateral,separated_by_parametrium,wall_invasion,FIGO IIIB: pelvic wall
uterus,supplied_by,uterine_artery,any,,,,
uterine_artery,supplied_by,internal_iliac_artery,any,,,,
uterus,drains_lymph_to,ln_obturator,any,,,nodal,
uterus,drains_lymph_to,ln_internal_iliac,any,,,nodal,
uterus,drains_lymph_to,ln_external_iliac,any,,,nodal,
uterus,drains_lymph_to,ln_common_iliac,any,,,nodal,
uterus,drains_lymph_to,ln_paraaortic,any,,,nodal,FIGO IIIC2
uterus,lies_in,pelvis_true,any,,,,
cervix,has_part,cervical_stroma,any,,,confined,FIGO IB by stromal invasion depth / size
cervix,invested_by,parametrium,any,,,beyond_capsule,FIGO IIB: parametrial invasion
cervix,adjacent_to,vagina,any,inferior,continuous,adjacent_invasion,"IIA upper 2/3, IIIA lower 1/3"
cervix,adjacent_to,urinary_bladder,any,anterior,abuts,adjacent_invasion,IVA bladder mucosa
cervix,adjacent_to,rectum,any,posterior,near,adjacent_invasion,IVA rectal mucosa
cervix,adjacent_to,pelvic_sidewall,any,lateral,separated_by_parametrium,wall_invasion,IIIB pelvic wall
cervix,adjacent_to,ureter,any,lateral,near,obstruction,IIIB hydronephrosis / non-functioning kidney
cervix,drains_lymph_to,ln_obturator,any,,,nodal,
cervix,drains_lymph_to,ln_internal_iliac,any,,,nodal,
cervix,drains_lymph_to,ln_external_iliac,any,,,nodal,
cervix,drains_lymph_to,ln_presacral,any,,,nodal,
cervix,drains_lymph_to,ln_common_iliac,any,,,nodal,
cervix,drains_lymph_to,ln_paraaortic,any,,,nodal,IIIC2
cervix,lies_in,pelvis_true,any,,,,
vagina,has_part,vagina_upper_two_thirds,any,,,location,
vagina,adjacent_to,urethra,any,anterior,abuts,adjacent_invasion,
vagina,adjacent_to,rectum,any,posterior,abuts,adjacent_invasion,
vagina,adjacent_to,levator_ani,any,lateral,abuts,wall_invasion,
ovary,has_part,adnexa,same,,,location,
ovary,adjacent_to,uterus,same,medial,near,adjacent_invasion,
ovary,adjacent_to,iliac_artery,same,posterior_lateral,near,wall_invasion,ovarian fossa
ovary,adjacent_to,colon_sigmoid,left,posterior,near,adjacent_invasion,
ovary,adjacent_to,small_bowel,any,superior,near,adjacent_invasion,
ovary,invested_by,peritoneum,any,,,beyond_capsule,FIGO IC capsule rupture / surface
ovary,adjacent_to,omentum,any,superior,near,peritoneal_spread,FIGO III omental disease
ovary,drained_by,gonadal_vein,same,,,,
ovary,drains_lymph_to,ln_paraaortic,any,,,nodal,
ovary,drains_lymph_to,ln_external_iliac,any,,,nodal,
ovary,drains_lymph_to,ln_obturator,any,,,nodal,
ovary,lies_in,pelvis_true,any,,,,
prostate,has_part,prostate_peripheral_zone,any,,,confined|location,
prostate,has_part,prostate_transition_zone,any,,,confined|location,
prostate,invested_by,neurovascular_bundle,any,,,beyond_capsule,T3a extraprostatic extension marker
prostate,adjacent_to,seminal_vesicle,any,posterior_superior,abuts,adjacent_invasion,T3b seminal vesicle invasion
prostate,adjacent_to,urinary_bladder,any,superior,abuts,adjacent_invasion,T4 bladder neck
prostate,adjacent_to,rectum,any,posterior,separated_by_fascia,adjacent_invasion,T4 rectum
prostate,adjacent_to,levator_ani,any,lateral_inferior,near,wall_invasion,T4 levator / pelvic wall
prostate,adjacent_to,external_urethral_sphincter,any,inferior,continuous,adjacent_invasion,T4 external sphincter
prostate,adjacent_to,pelvic_sidewall,any,lateral,near,wall_invasion,
prostate,has_duct,urethra,any,,,obstruction,
prostate,supplied_by,internal_iliac_artery,any,,,,
prostate,drains_lymph_to,ln_obturator,any,,,nodal,
prostate,drains_lymph_to,ln_internal_iliac,any,,,nodal,
prostate,drains_lymph_to,ln_external_iliac,any,,,nodal,
prostate,drains_lymph_to,ln_presacral,any,,,nodal,
prostate,drains_lymph_to,ln_common_iliac,any,,,M1a,
prostate,lies_in,pelvis_true,any,,,,
urinary_bladder,has_part,bladder_wall,any,,,confined,T2 muscularis propria
urinary_bladder,invested_by,perivesical_fat,any,,,beyond_capsule,T3 perivesical tissue
urinary_bladder,adjacent_to,prostate,any,inferior,abuts,adjacent_invasion,T4a prostatic stroma
urinary_bladder,adjacent_to,seminal_vesicle,any,posterior_inferior,abuts,adjacent_invasion,T4a
urinary_bladder,adjacent_to,uterus,any,posterior_superior,abuts,adjacent_invasion,T4a uterus
urinary_bladder,adjacent_to,vagina,any,posterior,abuts,adjacent_invasion,T4a vagina
urinary_bladder,adjacent_to,rectum,any,posterior,near,adjacent_invasion,
urinary_bladder,adjacent_to,pelvic_sidewall,any,lateral,near,wall_invasion,T4b pelvic wall
urinary_bladder,adjacent_to,abdominal_wall,any,anterior_superior,near,wall_invasion,T4b abdominal wall
urinary_bladder,adjacent_to,small_bowel,any,superior,near,adjacent_invasion,
urinary_bladder,adjacent_to,colon_sigmoid,any,superior_posterior,near,adjacent_invasion,
urinary_bladder,has_duct,urethra,any,,,obstruction,
urinary_bladder,has_duct,ureter,any,,,obstruction,ureteric orifice; hydronephrosis
urinary_bladder,drains_lymph_to,ln_obturator,any,,,nodal,
urinary_bladder,drains_lymph_to,ln_internal_iliac,any,,,nodal,
urinary_bladder,drains_lymph_to,ln_external_iliac,any,,,nodal,
urinary_bladder,drains_lymph_to,ln_presacral,any,,,nodal,
urinary_bladder,drains_lymph_to,ln_common_iliac,any,,,N3,
