entity,phrase,grade,vocab_match,train_volumes,current_tier
vertebra_C1,C1 vertebra,exact,c1 vertebra,4504,in_vocab
vertebra_C1,vertebra C1,exact,vertebra c1,1000000,in_vocab
vertebra_C2,C2 vertebra,exact,c2 vertebra,4504,in_vocab
vertebra_C2,vertebra C2,exact,vertebra c2,1000000,in_vocab
vertebra_C3,C3 vertebra,exact,c3 vertebra,4504,in_vocab
vertebra_C3,vertebra C3,exact,vertebra c3,1000000,in_vocab
vertebra_C4,C4 vertebra,exact,c4 vertebra,4504,in_vocab
vertebra_C4,vertebra C4,exact,vertebra c4,1000000,in_vocab
vertebra_C5,C5 vertebra,exact,c5 vertebra,4504,in_vocab
vertebra_C5,vertebra C5,exact,vertebra c5,1000000,in_vocab
vertebra_C6,C6 vertebra,exact,c6 vertebra,4504,in_vocab
vertebra_C6,vertebra C6,exact,vertebra c6,1000000,in_vocab
vertebra_C7,C7 vertebra,exact,c7 vertebra,4504,in_vocab
vertebra_C7,vertebra C7,exact,vertebra c7,1000000,in_vocab
vertebra_T1,T1 vertebra,exact,t1 vertebra,4559,in_vocab
vertebra_T1,vertebra T1,exact,vertebra t1,1000000,in_vocab
vertebra_T2,T2 vertebra,exact,t2 vertebra,4559,in_vocab
vertebra_T2,vertebra T2,exact,vertebra t2,1000000,in_vocab
vertebra_T3,T3 vertebra,exact,t3 vertebra,4559,in_vocab
vertebra_T3,vertebra T3,exact,vertebra t3,1000000,in_vocab
vertebra_T4,T4 vertebra,exact,t4 vertebra,4559,in_vocab
vertebra_T4,vertebra T4,exact,vertebra t4,1000000,in_vocab
vertebra_T5,T5 vertebra,exact,t5 vertebra,4559,in_vocab
vertebra_T5,vertebra T5,exact,vertebra t5,1000000,in_vocab
vertebra_T6,T6 vertebra,exact,t6 vertebra,4559,in_vocab
vertebra_T6,vertebra T6,exact,vertebra t6,1000000,in_vocab
vertebra_T7,T7 vertebra,exact,t7 vertebra,5099,in_vocab
vertebra_T7,vertebra T7,exact,vertebra t7,1000000,in_vocab
vertebra_T8,T8 vertebra,exact,t8 vertebra,5099,in_vocab
vertebra_T8,vertebra T8,exact,vertebra t8,1000000,in_vocab
vertebra_T9,T9 vertebra,exact,t9 vertebra,5546,in_vocab
vertebra_T9,vertebra T9,exact,vertebra t9,1000000,in_vocab
vertebra_T10,T10 vertebra,exact,t10 vertebra,5546,in_vocab
vertebra_T10,vertebra T10,exact,vertebra t10,1000000,in_vocab
vertebra_T11,T11 vertebra,exact,t11 vertebra,5546,in_vocab
vertebra_T11,vertebra T11,exact,vertebra t11,1000000,in_vocab
vertebra_T12,T12 vertebra,exact,t12 vertebra,5546,in_vocab
vertebra_T12,vertebra T12,exact,vertebra t12,1000000,in_vocab
vertebra_L1,L1 vertebra,exact,l1 vertebra,5546,in_vocab
vertebra_L1,vertebra L1,exact,vertebra l1,1000000,in_vocab
vertebra_L2,L2 vertebra,exact,l2 vertebra,5546,in_vocab
vertebra_L2,vertebra L2,exact,vertebra l2,1000000,in_vocab
vertebra_L3,L3 vertebra,exact,l3 vertebra,5546,in_vocab
vertebra_L3,vertebra L3,exact,vertebra l3,1000000,in_vocab
vertebra_L4,L4 vertebra,exact,l4 vertebra,5546,in_vocab
vertebra_L4,vertebra L4,exact,vertebra l4,1000000,in_vocab
vertebra_L5,L5 vertebra,exact,l5 vertebra,5546,in_vocab
vertebra_L5,vertebra L5,exact,vertebra l5,1000000,in_vocab
vertebra_S1,S1 vertebra,exact,s1 vertebra,1228,in_vocab
vertebra_S1,vertebra S1,near,s1-s5 vertebrae,1000000,in_vocab
vertebra_S2,S2 vertebra,near,,,near
vertebra_S2,vertebra S2,ood,,,near
vertebra_S3,S3 vertebra,near,,,near
vertebra_S3,vertebra S3,ood,,,near
vertebra_S4,S4 vertebra,near,,,near
vertebra_S4,vertebra S4,ood,,,near
vertebra_S5,S5 vertebra,near,s1-s5 vertebrae,1000000,near
vertebra_S5,vertebra S5,near,s1-s5 vertebrae,1000000,near
spine,spine,exact,spine,1000000,in_vocab
spine,vertebral column,exact,vertebral column,1000000,in_vocab
spine,lumbar spine,exact,lumbar spine,1000000,in_vocab
spine,thoracic spine,exact,thoracic spine,1000000,in_vocab
sacrum,sacrum,exact,sacrum,5720,in_vocab
coccyx,coccyx,ood,,,ood
hip,left hip bone,exact,left hip bone,1000000,in_vocab
hip,right hip bone,exact,right hip bone,1000000,in_vocab
hip,left pelvis bone,exact,left pelvis bone,78,in_vocab
hip,right pelvis bone,exact,right pelvis bone,78,in_vocab
hip,left iliac bone,exact,left iliac bone,1000000,in_vocab
hip,right iliac bone,exact,right iliac bone,1000000,in_vocab
femur,left femur,exact,left femur,3974,in_vocab
femur,right femur,exact,right femur,3974,in_vocab
sternum,sternum,exact,sternum,3454,in_vocab
rib_cage,left rib cage,exact,left rib cage,1000000,in_vocab
rib_cage,right rib cage,exact,right rib cage,1000000,in_vocab
rib_cage,left ribs,exact,left ribs,1000000,in_vocab
rib_cage,right ribs,exact,right ribs,1000000,in_vocab
scapula,left scapula,exact,left scapula,3974,in_vocab
scapula,right scapula,exact,right scapula,3974,in_vocab
clavicle,left clavicle,exact,left clavicle,1000000,in_vocab
clavicle,right clavicle,exact,right clavicle,1000000,in_vocab
humerus,left humerus,exact,left humerus,3974,in_vocab
humerus,right humerus,exact,right humerus,3974,in_vocab
spinal_cord,spinal cord,exact,spinal cord,5433,in_vocab
aorta,aorta,exact,aorta,5057,in_vocab
aorta,abdominal aorta,exact,abdominal aorta,120,in_vocab
aorta,thoracic aorta,exact,thoracic aorta,30,in_vocab
inferior_vena_cava,inferior vena cava,exact,inferior vena cava,5016,in_vocab
inferior_vena_cava,IVC,exact,ivc,1000000,in_vocab
superior_vena_cava,superior vena cava,exact,superior vena cava,1289,in_vocab
iliac_artery,left iliac artery,exact,left iliac artery,4514,in_vocab
iliac_artery,right iliac artery,exact,right iliac artery,4514,in_vocab
iliac_artery,left common iliac artery,exact,left common iliac artery,172,in_vocab
iliac_artery,right common iliac artery,exact,right common iliac artery,172,in_vocab
iliac_artery,left external iliac artery,exact,left external iliac artery,51,in_vocab
iliac_artery,right external iliac artery,exact,right external iliac artery,51,in_vocab
iliac_vein,left iliac vein,exact,left iliac vena,4514,in_vocab
iliac_vein,right iliac vein,exact,right iliac vena,4514,in_vocab
internal_iliac_artery,left internal iliac artery,exact,left internal iliac artery,51,in_vocab
internal_iliac_artery,right internal iliac artery,exact,right internal iliac artery,51,in_vocab
internal_iliac_artery,left hypogastric artery,exact,left hypogastric artery,1000000,in_vocab
internal_iliac_artery,right hypogastric artery,exact,right hypogastric artery,1000000,in_vocab
internal_iliac_vein,left internal iliac vein,rare,left internal iliac vein,1,rare
internal_iliac_vein,right internal iliac vein,rare,right internal iliac vein,1,rare
portal_vein,portal vein,exact,portal vein,21,in_vocab
portal_vein,main portal vein,exact,main portal vein,1000000,in_vocab
splenic_vein,splenic vein,rare,splenic vein,1,rare
hepatic_veins,hepatic vessels,exact,hepatic vessels,494,in_vocab
hepatic_veins,hepatic veins,exact,hepatic veins,1000000,in_vocab
hepatic_veins,hepatic vein,exact,hepatic veins,1000000,in_vocab
hepatic_artery,hepatic artery,exact,hepatic artery,120,in_vocab
hepatic_artery,proper hepatic artery,exact,proper hepatic artery,1000000,in_vocab
hepatic_artery,common hepatic artery,rare,common hepatic artery,1,in_vocab
celiac_trunk,celiac trunk,exact,celiac trunk,533,in_vocab
celiac_trunk,coeliac artery,exact,coeliac artery,1000000,in_vocab
superior_mesenteric_artery,superior mesenteric artery,exact,superior mesenteric artery,171,in_vocab
superior_mesenteric_artery,SMA,exact,sma,1000000,in_vocab
superior_mesenteric_vein,SMV,exact,smv,1000000,in_vocab
superior_mesenteric_vein,superior mesenteric vein,rare,superior mesenteric vein,1,in_vocab
renal_artery,left renal artery,exact,left renal artery,171,in_vocab
renal_artery,right renal artery,exact,right renal artery,171,in_vocab
renal_vein,renal vein,exact,renal vein,70,in_vocab
renal_vein,left renal vein,rare,left renal vein,1,in_vocab
renal_vein,right renal vein,rare,right renal vein,1,in_vocab
gonadal_vein,left testicular vein,exact,left testicular vein,1000000,in_vocab
gonadal_vein,right testicular vein,exact,right testicular vein,1000000,in_vocab
gonadal_vein,left ovarian vein,exact,left ovarian vein,1000000,in_vocab
gonadal_vein,right ovarian vein,exact,right ovarian vein,1000000,in_vocab
gonadal_vein,left gonadal vein,rare,left gonadal vein,2,in_vocab
gonadal_vein,right gonadal vein,rare,right gonadal vein,1,in_vocab
pulmonary_artery,pulmonary artery,exact,pulmonary artery,593,in_vocab
pulmonary_artery,main pulmonary artery,exact,main pulmonary artery,1000000,in_vocab
pulmonary_vein,pulmonary veins,exact,pulmonary veins,1000000,in_vocab
brachiocephalic_trunk,brachiocephalic trunk,exact,brachiocephalic trunk,1000000,in_vocab
subclavian_artery,left subclavian artery,exact,left subclavian artery,1931,in_vocab
subclavian_artery,right subclavian artery,exact,right subclavian artery,1761,in_vocab
common_carotid_artery,left common carotid artery,exact,left common carotid artery,1931,in_vocab
common_carotid_artery,right common carotid artery,exact,right common carotid artery,1761,in_vocab
brachiocephalic_vein,left brachiocephalic vein,exact,left brachiocephalic vein,1761,in_vocab
brachiocephalic_vein,right brachiocephalic vein,exact,right brachiocephalic vein,1761,in_vocab
uterine_artery,left uterine artery,near,,,near
uterine_artery,right uterine artery,near,,,near
axillary_vessels,left axillary vessels,near,,,ood
axillary_vessels,right axillary vessels,near,,,ood
axillary_vessels,left axillary artery,near,,,ood
axillary_vessels,right axillary artery,near,,,ood
axillary_vessels,left axillary vein,near,,,ood
axillary_vessels,right axillary vein,near,,,ood
lung,left lung,exact,left lung,4404,in_vocab
lung,right lung,exact,right lung,4404,in_vocab
lung_left_upper_lobe,left lung upper lobe,exact,left lung upper lobe,3454,in_vocab
lung_left_upper_lobe,left upper lobe of lung,near,dexter lung upper lobe,1000000,in_vocab
lung_left_lower_lobe,left lung lower lobe,exact,left lung lower lobe,3454,in_vocab
lung_left_lower_lobe,left lower lobe of lung,near,dexter lung lower lobe,1000000,in_vocab
